temp,humidity,pressure,wind_speed,rain_1h,disaster_type,latitude,longitude,elevation,timestamp,month,hour,vegetation,soil_type,soil_moisture,urban_rural,ocean_current
23.0,45,1019,12.2,1.9,none,-58.4455,68.4018,373,2020-01-05 11:00:00,1,11,urban,sand,28.6,urban,normal
22.3,67,1009,17.1,0.0,none,88.647,153.7203,172,2020-01-05 12:00:00,1,12,cropland,sand,35.6,rural,normal
11.9,52,1005,8.7,0.6,none,-83.4911,-70.8738,1014,2020-01-05 13:00:00,1,13,grassland,loam,39.2,rural,cool_current
29.5,10,1010,40.7,0.0,wind_damage,88.5884,126.513,1021,2020-01-05 14:00:00,1,14,urban,silt,19.2,urban,normal
25.7,26,1005,18.9,0.1,none,-75.4345,-34.9271,933,2020-01-05 15:00:00,1,15,grassland,clay,13.4,rural,normal
25.8,10,995,5.7,0.0,none,-58.529,0.9238,1496,2020-01-05 16:00:00,1,16,grassland,silt,22.8,rural,normal
31.7,75,1007,22.1,0.2,none,-33.8731,2.2111,83,2020-01-05 17:00:00,1,17,forest,loam,43.0,rural,normal
8.6,54,1007,10.5,1.5,none,-46.9476,-128.7902,507,2020-01-05 18:00:00,1,18,urban,silt,60.6,urban,cool_current
24.3,14,996,12.7,0.0,none,69.5888,-18.0775,986,2020-01-05 19:00:00,1,19,grassland,silt,32.1,rural,normal
8.1,53,1003,1.1,0.3,none,-3.3581,-173.0908,1219,2020-01-05 20:00:00,1,20,forest,silt,20.7,rural,normal
9.4,56,1021,8.6,0.0,none,61.9843,-144.6903,220,2020-01-05 21:00:00,1,21,urban,loam,9.4,urban,cool_current
21.0,67,1019,18.7,1.7,none,-44.1593,122.7138,239,2020-01-05 22:00:00,1,22,urban,loam,53.6,urban,normal
12.6,63,1003,5.7,0.0,none,2.1999,64.882,699,2020-01-05 23:00:00,1,23,cropland,sand,50.2,rural,normal
16.8,10,997,2.7,0.1,none,-58.6603,-144.5776,2150,2020-01-06 00:00:00,1,0,urban,loam,35.5,urban,cool_current
15.0,38,991,26.8,4.9,none,-52.9763,-136.3009,2037,2020-01-06 01:00:00,1,1,shrubland,loam,16.7,rural,cool_current
5.2,65,991,7.2,0.0,none,56.1186,56.3323,2094,2020-01-06 02:00:00,1,2,shrubland,loam,11.8,rural,normal
8.1,12,992,18.7,6.8,none,-68.1298,-108.9106,2717,2020-01-06 03:00:00,1,3,shrubland,sand,28.1,rural,cool_current
14.9,71,1004,16.0,0.0,none,61.5597,82.2566,1070,2020-01-06 04:00:00,1,4,cropland,clay,56.3,rural,normal
19.1,49,1007,8.8,0.0,none,1.0535,122.6531,839,2020-01-06 05:00:00,1,5,grassland,silt,46.0,rural,normal
19.1,57,1002,16.5,1.5,none,-61.1871,-13.8393,564,2020-01-06 06:00:00,1,6,cropland,loam,67.6,rural,normal
24.0,40,1006,5.8,0.0,none,46.9783,-167.2879,337,2020-01-06 07:00:00,1,7,urban,loam,39.9,rural,normal
35.8,86,1008,1.2,1.6,none,-9.2501,79.9455,285,2020-01-06 08:00:00,1,8,grassland,clay,12.1,rural,normal
28.4,63,986,28.5,9.8,storm,14.3971,22.1345,1022,2020-01-06 09:00:00,1,9,forest,silt,33.0,rural,normal
15.5,46,1011,7.2,0.0,none,51.9507,6.2169,233,2020-01-06 10:00:00,1,10,urban,silt,46.6,rural,cool_current
2.1,65,1002,6.5,0.0,none,51.4173,-137.399,2155,2020-01-06 11:00:00,1,11,urban,clay,42.8,rural,cool_current
19.9,49,1008,5.5,0.0,none,79.3223,-86.6532,106,2020-01-06 12:00:00,1,12,urban,silt,0.8,rural,cool_current
18.4,63,992,49.7,2.5,storm,41.3115,95.5846,863,2020-01-06 13:00:00,1,13,urban,clay,39.1,urban,normal
20.8,47,999,9.4,0.0,none,46.6917,-18.0937,324,2020-01-06 14:00:00,1,14,forest,silt,52.6,rural,normal
24.7,42,1006,11.4,13.8,none,-80.5936,-29.2344,970,2020-01-06 15:00:00,1,15,forest,silt,28.4,rural,normal
25.5,76,1014,19.1,0.1,none,11.0201,8.4207,98,2020-01-06 16:00:00,1,16,forest,silt,35.0,rural,cool_current
29.9,62,1009,5.0,3.7,none,-15.8822,54.3504,488,2020-01-06 17:00:00,1,17,forest,silt,78.8,rural,normal
15.0,67,1018,12.7,1.8,none,3.4895,-106.2427,82,2020-01-06 18:00:00,1,18,grassland,clay,46.3,rural,cool_current
12.7,80,1013,4.0,0.0,none,52.7138,27.9336,165,2020-01-06 19:00:00,1,19,forest,loam,63.4,rural,normal
6.9,22,983,6.5,0.0,none,73.1058,-80.3144,2958,2020-01-06 20:00:00,1,20,shrubland,silt,24.2,rural,cool_current
7.2,67,1009,19.5,0.0,none,20.7536,-149.9529,770,2020-01-06 21:00:00,1,21,forest,loam,38.7,rural,cool_current
18.1,88,1014,4.1,2.9,none,-13.0519,-121.596,240,2020-01-06 22:00:00,1,22,forest,loam,49.4,rural,cool_current
31.2,100,1012,9.2,0.2,none,-33.417,-10.3796,199,2020-01-06 23:00:00,1,23,wetland,clay,21.3,rural,normal
28.0,87,1014,14.4,0.0,none,44.7887,54.4131,35,2020-01-07 00:00:00,1,0,forest,silt,72.3,rural,normal
10.8,21,992,15.7,1.5,none,-77.4646,-117.0427,2639,2020-01-07 01:00:00,1,1,shrubland,clay,7.3,rural,cool_current
12.8,30,992,15.2,0.0,none,47.8917,103.841,2162,2020-01-07 02:00:00,1,2,shrubland,clay,12.4,rural,normal
5.4,62,1006,11.1,0.0,none,65.6214,16.7934,805,2020-01-07 03:00:00,1,3,shrubland,clay,29.0,rural,cool_current
5.3,71,1011,3.1,0.0,none,73.9386,91.4263,1238,2020-01-07 04:00:00,1,4,urban,loam,6.5,rural,normal
30.7,43,1008,12.1,0.0,none,-36.0146,87.5496,620,2020-01-07 05:00:00,1,5,grassland,silt,23.2,rural,normal
18.4,60,1001,12.3,0.0,none,59.6472,35.6323,1464,2020-01-07 06:00:00,1,6,shrubland,loam,65.7,rural,normal
36.9,73,1023,14.6,0.0,none,18.3462,141.3084,19,2020-01-07 07:00:00,1,7,urban,sand,47.1,urban,normal
24.1,61,1008,10.1,0.0,none,27.4004,162.1912,319,2020-01-07 08:00:00,1,8,urban,sand,36.4,urban,normal
24.5,69,1005,10.4,0.0,none,-40.1734,169.7518,225,2020-01-07 09:00:00,1,9,grassland,loam,68.7,rural,normal
27.5,76,1015,7.5,0.0,none,12.9688,4.5604,105,2020-01-07 10:00:00,1,10,forest,loam,20.1,rural,normal
23.9,54,979,33.3,13.8,storm,36.4066,177.4141,237,2020-01-07 11:00:00,1,11,grassland,sand,49.9,rural,normal
27.0,63,1001,11.2,0.7,none,-89.7183,49.1045,1243,2020-01-07 12:00:00,1,12,grassland,loam,24.7,rural,normal
27.7,70,1017,21.0,0.0,none,30.3431,64.3212,119,2020-01-07 13:00:00,1,13,grassland,loam,36.4,rural,normal
16.2,52,1005,13.4,0.0,none,-78.0401,12.2283,871,2020-01-07 14:00:00,1,14,urban,silt,2.9,rural,cool_current
15.0,64,1016,11.1,0.0,none,62.2088,69.2974,311,2020-01-07 15:00:00,1,15,urban,sand,16.1,rural,normal
37.6,53,1017,14.8,0.2,none,-12.4227,-65.2079,294,2020-01-07 16:00:00,1,16,forest,silt,73.4,rural,normal
27.3,10,993,15.7,0.6,none,-85.4194,52.4961,2092,2020-01-07 17:00:00,1,17,grassland,silt,3.9,rural,normal
10.1,73,1008,6.7,0.0,none,-8.2797,67.7787,643,2020-01-07 18:00:00,1,18,forest,loam,22.4,rural,normal
12.1,79,1010,19.5,0.4,none,-7.4659,-75.8719,619,2020-01-07 19:00:00,1,19,shrubland,sand,28.8,rural,cool_current
16.1,21,987,10.3,0.8,none,-62.2539,19.3361,1854,2020-01-07 20:00:00,1,20,urban,sand,28.3,urban,cool_current
-0.0,65,1009,9.5,0.2,none,-64.9446,-20.1443,1132,2020-01-07 21:00:00,1,21,forest,loam,36.9,rural,normal
23.4,58,1015,4.6,0.0,none,83.5252,147.4037,152,2020-01-07 22:00:00,1,22,urban,sand,16.9,urban,normal
9.0,37,985,13.6,0.9,none,-63.2167,-13.4368,2952,2020-01-07 23:00:00,1,23,grassland,clay,44.6,rural,normal
20.4,88,1009,6.8,0.1,none,-1.3814,27.8205,597,2020-01-08 00:00:00,1,0,forest,silt,72.2,rural,normal
20.8,65,1012,3.6,0.0,none,69.0237,-18.6051,770,2020-01-08 01:00:00,1,1,forest,silt,41.3,rural,normal
23.9,20,1014,1.2,2.5,none,-52.0731,164.6813,522,2020-01-08 02:00:00,1,2,shrubland,loam,14.6,rural,normal
25.3,74,1011,10.4,0.0,none,28.5373,95.8017,317,2020-01-08 03:00:00,1,3,grassland,clay,38.7,rural,normal
24.7,22,1005,10.4,0.0,none,55.4823,161.1677,680,2020-01-08 04:00:00,1,4,urban,clay,17.2,urban,normal
23.7,76,1011,22.1,0.5,none,-17.4828,-73.6954,251,2020-01-08 05:00:00,1,5,forest,loam,60.8,rural,cool_current
31.5,80,1023,21.4,0.0,none,-25.5935,53.2143,238,2020-01-08 06:00:00,1,6,forest,silt,14.1,rural,normal
17.9,68,1002,10.6,0.0,none,9.4502,7.2612,376,2020-01-08 07:00:00,1,7,urban,sand,43.7,urban,cool_current
16.2,10,994,7.1,0.0,none,37.2558,-157.4317,2598,2020-01-08 08:00:00,1,8,shrubland,silt,13.0,rural,normal
14.5,54,1012,10.1,0.0,none,52.0078,141.074,1209,2020-01-08 09:00:00,1,9,grassland,silt,48.7,rural,normal
28.3,72,1011,22.0,0.0,none,38.3483,59.8987,253,2020-01-08 10:00:00,1,10,grassland,loam,56.5,rural,normal
18.2,67,1009,19.8,0.2,none,-12.1088,-15.2281,420,2020-01-08 11:00:00,1,11,urban,clay,40.0,rural,normal
17.4,70,1004,19.9,0.0,none,19.3954,-73.6915,324,2020-01-08 12:00:00,1,12,urban,silt,15.6,urban,cool_current
26.4,54,1006,3.0,0.1,none,-23.7985,-159.0869,242,2020-01-08 13:00:00,1,13,forest,loam,4.3,rural,normal
25.3,65,1004,17.5,1.1,none,-88.2137,-12.9257,678,2020-01-08 14:00:00,1,14,shrubland,sand,41.8,rural,normal
25.1,64,985,27.5,5.7,storm,-86.8406,-74.4089,720,2020-01-08 15:00:00,1,15,shrubland,loam,24.8,rural,cool_current
18.1,12,993,6.1,0.8,none,-45.6113,-5.7323,2368,2020-01-08 16:00:00,1,16,grassland,loam,24.2,rural,normal
9.7,70,1006,9.4,0.0,none,14.0937,-127.0934,273,2020-01-08 17:00:00,1,17,urban,sand,40.0,rural,cool_current
16.4,81,1014,7.6,1.0,none,37.3898,-157.6068,19,2020-01-08 18:00:00,1,18,grassland,clay,45.8,rural,normal
20.2,85,1016,7.6,8.8,none,8.3839,-24.1862,123,2020-01-08 19:00:00,1,19,wetland,clay,72.7,rural,normal
15.3,68,1009,14.8,8.1,none,-11.3407,33.6819,853,2020-01-08 20:00:00,1,20,urban,sand,37.4,rural,normal
19.8,55,1012,1.1,0.0,none,-45.4787,50.6215,208,2020-01-08 21:00:00,1,21,urban,clay,38.2,rural,normal
24.9,89,1014,15.0,0.1,none,-32.0994,125.2952,52,2020-01-08 22:00:00,1,22,wetland,clay,70.6,rural,normal
5.4,37,992,7.7,0.0,none,75.3168,162.3343,1942,2020-01-08 23:00:00,1,23,grassland,sand,2.8,rural,normal
17.5,26,1008,5.5,8.7,none,-55.5133,150.5661,754,2020-01-09 00:00:00,1,0,shrubland,loam,25.2,rural,normal
7.0,53,998,9.1,0.3,none,-39.1507,-52.9019,1693,2020-01-09 01:00:00,1,1,urban,clay,18.4,rural,normal
18.3,30,1005,17.5,0.0,none,79.3412,2.4914,1523,2020-01-09 02:00:00,1,2,grassland,clay,26.1,rural,normal
6.1,68,1001,4.9,0.0,none,-83.2372,-133.968,845,2020-01-09 03:00:00,1,3,urban,loam,9.5,rural,cool_current
12.1,37,997,18.8,0.0,none,62.7166,-27.8535,1257,2020-01-09 04:00:00,1,4,shrubland,sand,30.3,rural,normal
-3.9,68,993,10.7,0.0,none,87.2745,91.5294,1740,2020-01-09 05:00:00,1,5,forest,loam,56.3,rural,normal
24.2,10,993,18.3,1.5,none,-82.364,-84.4826,2003,2020-01-09 06:00:00,1,6,shrubland,silt,25.4,rural,cool_current
33.2,74,1014,10.1,0.6,none,-6.8911,151.558,482,2020-01-09 07:00:00,1,7,forest,loam,30.1,rural,normal
13.0,41,1006,13.0,0.0,none,11.1731,160.9526,1155,2020-01-09 08:00:00,1,8,urban,clay,54.3,urban,normal
14.8,48,1013,6.4,0.0,none,57.0831,16.7149,498,2020-01-09 09:00:00,1,9,grassland,loam,82.9,rural,cool_current
25.2,19,1000,22.8,0.0,none,65.7532,-123.3816,1274,2020-01-09 10:00:00,1,10,grassland,loam,12.8,rural,cool_current
30.7,10,1000,11.3,0.0,none,59.9095,146.1913,530,2020-01-09 11:00:00,1,11,urban,silt,36.3,urban,normal
26.6,67,1003,5.2,0.6,none,-17.1851,-155.3928,565,2020-01-09 12:00:00,1,12,wetland,clay,51.8,rural,normal
23.6,75,1009,5.7,1.0,none,-14.6999,90.3383,706,2020-01-09 13:00:00,1,13,wetland,clay,53.6,rural,normal
21.0,63,1013,12.1,0.5,none,36.8198,-27.8177,85,2020-01-09 14:00:00,1,14,forest,silt,32.0,rural,normal
29.4,81,1011,21.0,0.5,none,-36.4877,-146.8559,813,2020-01-09 15:00:00,1,15,forest,silt,38.9,rural,cool_current
